English Sentence,Amharic Sentence
Thousands of supporters of former Thai Prime Minister Thaksin Shinawatra gather outside the home of a royal adviser accused of involvement in the 2006 coup that ousted the Prime Minister.,በሺዎች የሚቆጠሩ የቀድሞ የታሒ ጠቅላይ ሚኒሰቴር ታህክሲን ሺንዋትራ ደጋፊዎች በ2006 በተደረገባቸው የመፈንቅለ መንግስት ምክንያት በንጉሳዊ አማካሪ ቤተመንግስት ደጃፍ በመገኘት ተቃውሞአቸውን አሰሙ።
Tombs discovered near Egypt's pyramids reinforce the theory they were built by free workers rather than slaves.,በግብፅ ራሚዶች አጠገብ የተገኙ አዲስ መካነ መቃብሮች፤ መቃብሮች በባሪያዎች ሳይሆን በነፃ ሰዎች እንደተሰሩ ማረጋገጫዎች እንደሚሆኑ አስታወቁ።
"Australia experiences its hottest night since 1902, as a heat wave grips the country.",በአየር ሙቀት እየተፈተነች ያለችው አውስትራሊያ ከ1902 በ|ላ ሞቃታማ የተባለውን ምሽት አሳልፋለች።
"Turkish police arrest at least 14 military officers, including four generals, accused of a 2003 coup plot.",የቱርክ ፖሊስ እ.ኤ.አ በ 2003 ዓ.ም የመፈንቅለ መንግስት ሴራ ፈጽመዋል ተብለው የተጠረጠሩ አራት ጄኔራሎችን ጨምሮ ቢያንስ አስራ አራት ወታደራዊ መኮንኖችን በቁጥጥር ስር አውሏል።
"Al-Qaeda's top leader in Afghanistan, and Osama bin Laden's third in command, Mustafa Abu al-Yazid, is reported killed.",በአፍጋኒሳትን ከአልቃይዳ ዋና አመራሮች የነበረው እና የኦሳማ ቢላደን ሶሰተኛ አዛዥ የነበርው ሙሰጠፋ አቡ አል ያዚድ እንደተገደለ ተነገረ።
Poland publishes the transcript of flight data recorders from the fatal 2010 Polish Air Force Tu-154 crash which killed 96 officials and intellectuals on 10 April.,ፖላንድ ኤፕሪል 10 ቀን 96 ባለሥልጣናትን እና ምሁራንን ከገደለው የ 2010 የፖላንድ አየር ኃይል ቱ -154 አደጋ የበረራ መረጃ መቅረጫዎችን ግልባጭ ለህትመት አበቃች።
America's Obama administration warns that BP's oil spill in the Gulf of Mexico could continue until August.,የአሜሪካው የኦባማ አስተዳደር በሜክሲኮ ባሕረ ሰላጤ የቢፒ (የእንግሊዝ ነዳጅ ኩባንያ) የነዳጅ ዘይት ፍሰት እስከ ነሐሴ ድረስ ሊቀጥል እንደሚችል አስጠንቅቋል።
Three Namibian women sue the state after they are sterilised without their informed consent after being diagnosed as HIV positive.,ሶስት የናሚቢያ ሴቶች ከፍላጎታችን ውጪ ላለመውለድ የሚያስችለውን የህክምና ሂደት እንድንከታተል ከተደረገብን በ|ላ ኤችአይቪ ተይዘናል በማለት መንግስትን ላይ ክስ አቀረቡ።
"Two North Koreans are jailed in South Korea over an assassination plot on a high-ranking North Korean defector, Hwang Jang-yop.",በደቡብ ኮሪያ ሰሜን ኮሪያን ክዶ የመጣ ህዋንግ ጃንገ ዮፕ ከተባለ የቀድሞ ከፍተኛ የሰሜን ኮሪያ ባለስልጣን ግድያ ጋር በተያያዘ ሁለት የሰሜን ኮሪያ ዜግነት ያላቸው ግለሰቦች ታሰሩ።
"An estimated 52,000 people took part in anti-government protests in the former British colony of Hong Kong.","በቀድሞው የብሪታንያ ቅኝ ግዛት በሆንግ ኮንግ ከተማ በተደረገው ተቃውሞ 52,000 (ሃምሳ ሁለት ሺህ) የሚገመቱ ሰዎች ተሳትፈዋል።"
The Parliament of Finland approves the construction of two nuclear power stations.,የፊንላንድ ፓርላማ ሁለት የኒውክላር ሃይል ማመንጫ ጣቢያዎች ግንባታ እንዲጀመር ወሰነ።
Fossils discovered at the Franceville site in Gabon are claimed to be evidence that multicellular life on Earth began at least 1.5 billion years earlier than currently reckoned.,በጋቦን ፍራንስቪሌ የተገኙ ቅሪተ አካላት በምድራችን ላይ ባለብዙ ህዋስ አካላት መኖር ጀመሩ ተብሎ ከሚታሰብበት 1.5 ቢሊዮን አመት በላይ ስለመኖራቸው ማሳያ እንደሆኑ ተመላከተ።
Astronomers confirm the first-ever direct picture of an extrasolar planet orbiting its star.,የጠፈር ተመራማሪዎች የመጀመሪያ የሆነውን የኤክስትራሶላር ፕላኔት በኮከቦቹ ላይ ሲዘዋወር የሚያሳይ ምስል እንዳገኙ አስታወቁ።
Politicians in Nepal fail to elect a new Prime Minister for the third time after no candidate secured a majority.,በኔፓል ያሉ ፖለቲከኞች ለጠቅላይ ሚኒስቴርነት ከሚወዳደሩ እጩ ተወዳዳሪዎች ውስጥ ከፍተኛ ድምፅ ማግኘት ባለመቻሉ ለሶስተኛ ጊዜ አዲስ ጠቅላይ ሚኒስቴር መምረጥ ተሳናቸው።
A Greek truck drivers strike ends with the situation expected to get back to normal quickly.,በግሪክ የሚገኙ የከባድ መኪና አሽከርካሪዎች ሁኔታው ወደ ቀድሞው እንደሚመለስ በማሰብ ያደረጉትን አድማ አቆሙ።
President of Mexico Felipe Calderón calls for a debate on the legalization of drugs.,የሜክሲኮው ፕሬዚደንት ፍሊፔ ካልዴሮን በእፆች ህጋዊነት ላይ ክርክር እንዲደረግ ጥሪ አቀረቡ።
Elena Kagan is sworn in as the fourth woman to sit on the Supreme Court of the United States.,ኤሌና ካጋን በዩናይትድ ስቴትስ ጠቅላይ ፍርድ ቤት መቀመጫ በማግኘት አራተኛዋ ሴት ሆና ቃለ መሃላ ፈጽማለች።
"Wendy Chapman, the doctor at the centre of the Bloodgate rugby union scandal, is summoned to a disciplinary hearing on 23 August.",በብለድጌት ራግቢ ህብረት ቅሌት መሃል ያለችው ዶክተር ዌንዲ ቻፕማን ነሐሴ 23 ላይ ወደ ዲሲፕሊን ችሎት ተጠርታለች።
Turkey sets up a commission of Turkish officials and bureaucrats to investigate May's Gaza flotilla raid.,ቱርክ በግንቦቱ የፍሎቲላ ጋዛ ወረራ ላይ ምርመራ ለማድረግ የባለስልጣኖች እና የቢሮክራቶች ኮሚሽን አkkች።
President of the United States Barack Obama signs a bill increasing security along his country's border with Mexico.,የአሜሪካው ፕሬዝዳንት ባራክ ኦባማ ሀገራቸው ከሜክሲኮ ጋር በምትዋሰንበት ድንበር ላይ ደህንነትን የሚያጠናክር ረቂቅ ሰነድ ተፈራረሙ።
The Independent Democrats and Democratic Alliance opposition parties in South Africa agree to merge against the ruling African National Congress.,በደቡብ አፍሪካ የገለልተኛ ዲሞክራቶች እና የዲሞክራቲ ህብረት ፓርቲዎች ለመዋሃድ እና የገዢውን የአፍሪካ ብሄራዊ ኮንግረስ ፓርቲን ለመቀናቀን ተስማሙ።
Mexico City legalises the fining of shops which give away free plastic bags in an environmental initiative.,ሜክሲኮ ከተማ የተፈጥሮውን ዓለም ለመጠበቅ ሲባል ነፃ የፕላስቲክ ከረጢቶችን የሚሰጡ ሱቆች መቅጣትን ሕጋዊ አደረገች።
Former Australian swimmer Dawn Fraser is criticised for controversial remarks during which she called for the boycott of the 2010 Commonwealth Games in Delhi.,የቀድሞዋ የአውስትራሊያ ዋናተኛ ዳውን ፍሬሰር በ2010 የተደረገውን የዴልሂ ኮመንዌልዝ ውድድር ላይ ላለመሳተፍ በማሴሯ ወቀሳን እያስተናገደች ትገኛለች።
Carworkers in South Africa end their eight-day strike with a 10% pay deal.,በደቡብ አፍሪካ የሚገኙ የመኪና ሠራተኞች የስምንት ቀን የሥራ ማቆም አድማቸው በ 10% የክፍያ ስምምነት ተጠናቋል።
More than half of politicians in Benin call for impeachment proceedings against President Boni Yayi over his involvement in a Ponzi scheme.,በቤኒን ያሉ ግማሽ ያህል ፖለቲከኞች ፕሬዚደንት ቦኒ ያዪ ከፖንዚ እቅድ ጋር ባላቸው ግንኙነትምክኒያት ከስልጣናቸው እንዲነሱ የሚያደርግ አካሄድ እንዲደረግ ጠየቁ።
"Hurricane Danielle strengthens to Category 4, becoming the first major hurricane of the 2010 Atlantic hurricane season.",ሃሪኬን ዳንኤሌ ወደ ደረጃ 4 ጠንክሮ፤ በ2010 የመጀመሪያው የአትላንቲክ ሃሪኬን ወቅት የተከሰተ ከፍተኛ ሃሪኬን አድርጎታል።
A trade agreement between Australia and the European Union comes into effect stopping Australian wine being marketed using terms such as champagne and port.,በአውስትራሊያ እና በአውሮፓ ህብረት መካከል የተደረጋው የንግድ ስምምነት አውስትራሊያ በሻምፓኝ እና ፖርት ስያሜ ለገበያ የምታቀርባቸውን የወይን መጠጥ ምርቶች ለገበያ እናዳታቀርብ ያግዳታል።
Mozambique announces it will reverse a rise in the price of bread that led to riots last week.,ሞዛምቢክ ለባለፈው ሳምንት ረብሻዎች የዳረጋትን የዳቦ ዋጋ መናር ወደነበረበት እንደሚመለስ አስታወቀች።
Japan detains a Chinese fishing boat found near the disputed Pinnacle Islands in the East China Sea.,ጃፓን በምስራቅ ቻይና ባህር በክርክር ላይ ያሉ የፒንኖክ ደሴቶች የድንበር መስመር አቅራቢያ የተገኘች አንድ የቻይና የዓሣ ማጥመጃ ጀልባን አሰረች።
The United States and Australia issue travel warnings for India following the shooting of two Taiwanese tourists outside the Jama Masjid mosque in Delhi.,አሜሪካ እና አውስትራሊያ ሁለት የታይዋን ጎብኚዎች በህንድ ዴልሂ የጃማ መስጂድ አካባቢ መገደላቸውን ተከትሎ ወደ ህንድ ሚደረጉ ጉዞወች ላይ የደህንነት ማስጠንቀቂያ አስተላለፉ።
Jupiter becomes the brightest object in the night sky after the Moon as it makes its closest approach to Earth since 1963.,ከ1963 በ|ላ ወደ ምድር የቀረበችው ጁፒተር ሰማይ ላይ ካሉ አካለት ከጨረቃ ቀጥሎ በምሽት በጣም የምታንፀባርቀው አካል ሆናለች።
Italian authorities seize 23 million euro (approximately US$30 million) from a Vatican bank account in a money laundering probe.,የኢጣሊያ ባለሥልጣናት በሕገ-ወጥ የገንዘብ ምርመራ ውስጥ ከቫቲካን የባንክ ሂሳብ 23 ሚሊዮን ዩሮ፣ በግምት 30 ሚሊዮን የሚጠጋ የአሜሪካን ዶላር አግደዋል።
The Commonwealth Games Federation demands that India improve conditions at the athletes' village in Delhi.,የኮመንዌልዝ ውድድሮች ፌዴሬሽን ህንድ በዴልሂ ያለውን የአትሌቶቸ መንደር ደረጃ ጥራት እንድታስተካከል ሲል ጠየቀ።
The Minnesota Twins win the American League Central in Major League Baseball and become the first team to qualify for postseason play in 2010.,የሚኒሶታ መንትዮች በሜጀር ሊግ ቤዝቦል የአሜሪካ ሊግ ማእከሉን አሸንፈው በ 2010 ለድህረ -ውድድር ጨዋታ ብቁ ለመሆን የመጀመሪያው ቡድን ይሆናሉ።
The Beano is to feature a President of the United States for the first time in its history.,ቢኤኖ በታሪክ ለመጀመሪያ ጊዜ የአሜሪካ ፕሬዚደንትን ምስል ሊጠቀም ነው።
Gun battle between security forces and Taliban fighters leave four militants including their commander dead in Wardak province 40 km west of Afghanistan capital Kabul.,በፀጥታ ኃይሎች እና በታሊባን ተዋጊዎች መካከል በተደረገ የተኩስ ውጊያ ምክንያት ከአፍጋኒስታን ዋና ከተማ ካቡል በምዕራብ 40 ኪ.ሜ በዎርዳክ አውራጃ ውስጥ አዛዣቸውን ጨምሮ አራት ታጣቂዎች ተገድለዋል።
"A suspected U.S. drone fired missiles at a house in northwestern Pakistan in Khushali, a village near Mir Ali, killing four people.",ከአሜሪካ ድሮን ነው በተባለ ጥቃት በሰሜናዊ ፓኪስታን ኩሻሊ ሚር አሊ በተባለ መንደር አቅራቢያ በመኖርያ ቤት ላይ በደረሰ በተተኮሰ ሚሳኤል የአራት ሰዎች ህይወት አለፈ።
Los Angeles experiences all-time record high temperature day at 45°C or 113F.,ሎስ አንጀለስ እስከ 45 ዲግሪ ሴልሽየስ ወይም 113 ዲግሪ ፋራናይት የተመዘገበና ከየትኛውም ጊዜ በላይ ከፍተኛ የሆነ የሞቀት መጨመር እያስተናገደች ትገኛለች።
6 sailors taken hostage off the coast of Cameroon on September 12 by the Africa Marine Commando are released.,በካሜሮን ባህር ዳርቻ መስከረም 12 ላይ በአፍሪካ የባህር ኮማንዶ ተወስደው የነበሩ 6 መርከበኞች ተለቀቁ።
"Researchers identify a new, though threatened, language known as Koro.",ተመራማሪዎች አዲስ እና ሊጠፋ የተቃረበ ኮሮ የሚባል kንk አገኙ።
Greenpeace sends Facebook a letter containing half a million signatures asking the company to cut its ties to coal based electricity.,ፌስቡክ ከድንጋይ ከሰል ኤሌክትሪክ ጋር ያለውን ግንኙነት እንዲያቋርጥ የሚጠይቅ ግማሽ ሚሊዮን የድጋፍ ፊርማ የያዘ ደብዳቤ ግሪንፒስ (አረንጓዴ ሰላም) ለፌስቡክ ኩባንያ ልኳል።
A prolonged drought in the Amazon region forces Brazil to declare a state of emergency in 25 towns.,በአማዞን አካባቢ የተከሰተውና ለረጅም ጊዜ የተከሰተው ድርቅ ብራዚልን በ25 ከተሞቿ ላይ የአስቸኳይ ጊዜ አዋጅ እንድታውጅ አስገድዷል።
"Canada declares BPA toxic, prompting curbs or bans on the widely used chemical.",ካናዳ በሰፊው ጥቅም ላይ የሚውለው ኬሚካል ቢፒኤ መርዛማ እንደሆነ በማወጅ እገዳዎች እንዲደረጉ ታበረታታለች።
The death toll from Typhoon Megi in the Philippines rises to three as heavy rain falls on the island of Luzon for a second consecutive day.,በሉዞን ደሴት ላይ ለሁለት ተከታታይ ቀናት ከባድ ዝናብ በመዝነቡ በፊሊፒንስ የታይፉን ሜጂ አውሎ ነፋስ የሟቾች ቁጥር ወደ ሶስት ከፍ ብሏል።
Jewish settlers have started building more than 600 homes in the West Bank since a building freeze expired last month.,የህንፃ እገዳ ባለፈው ወር መጨረስን አስመልክቶ የአይሁድ ሰፋሪዎች በዌስት ባንክ ከ 600 በላይ መኖሪያ ቤቶችን መገንባት ጀምረዋል።
"A magnitude 7.5 earthquake strikes near the Mentawai Islands, but tsunami warnings for western Sumatra proved unwarranted. ,",በሜንታዋ ደሴቶች አቅራቢያ 7.5 መጠን ያለው የመሬት መንቀጥቀጥ ቢከሰትም ለምዕራባዊ ሱማትራ የሱናሚ ማስጠንቀቂያዎች እንዳልተደረጉ ተረጋግጧል።
"The Emperor of Exmoor, a red deer believed to be Britain's largest wild animal, is shot and killed.",የብሪታንያ ትልቁ የዱር እንስሳ እንደሆነ የሚታመነው የኤግዝሞሩ ንጉሰ ነገስት ቀይ አጋዘን በጥይት ተገደለ።
"A suicide bomber wearing an explosives belt kills at least 21 people, mostly Shiites, in Balad Ruz, the town north of Baghdad.",ከባግዳድ በስተሰሜን በምትገኝ ባላድሩዝ በምትባል መንደር የአጥፍቶ ጠፊ ፈንጂ በታጠቀ ግለሰብ በትንሹ 21 ሰዎች ሞቱ፤ ከሟቾቹ ብዙዎቹ ሺያዎች ናቸው።
A large oil field is discovered off the coast of Brazil that could contain between 8 and 15 billion barrels.,በብራዚል የባህር ዳርቻ ከ8 እስከ 15 ቢሊዮን በርሜል ሊሆን ይችላል የተባለለት ግዙፍ የሆነ የነዳጅ ቦታ ተገኘ።
"Three time surfing world champion Andy Irons dies from suspected dengue fever, one of five people on the ASP World Tour to suffer from the illness in the past three weeks.",የሶስት ጊዜው የአለም ሻምፒዮና አንዲ አየሮንስ በደንጌ በሽታ ምክንያት ከዚህ አለም በሞት ተለየ፤ በዚህ በሽታ በኤኤስፒ የአልምአቀፍ ውድድር ከተሳተፉ አምስት ሰዎች አንዱ እንደተጠቁ ተዘግቧል።
"The United States Border Patrol finds a sophisticated tunnel between Tijuana in Mexico and Otay Mesa, California, used by drug smugglers.",የዩናይትድ ስቴትስ የድንበር ጥበቃ የአደገኛ ዕፅ አዘዋዋሪዎች ይጠቀሙበት የነበረ በሜክሲኮ ቲዩዋና እና በኦታይ ሜሳ ካሊፎርንያ መካከል ያለ የተራቀቀ ዋሻ አግኝቷል።
Facebook inadvertently disabled some users' accounts when a system designed to detect fake accounts malfunctioned.,ፌስቡክ የውሸት ገፆችን ለመለየት የተጠቀመበት ዘዴ በአግባቡ ባለመስራቱ የአንዳንድ ተጠቃሚዎች ገፆች እንዳይሰሩ ሆነዋል።
A study published by The Lancet medical journal describes how short blasts of radio waves to the kidney may help regulate blood pressure.,በላንሴት የህክምና መጽሄት ላይ የሚወጣ ጥናት እንደሚያሳየው ትንሽ በኩላሊት ላይ የሚደረግ የሬድዮ ሞገድ ለደም ግፊት መቆጣጠሪያ እንደሚውል ነው።
US health insurers gave over $86.2million to the Chamber of Commerce last year for the purpose of opposing the health-care overhaul.,ባለፈው አመት የአሜሪካ የጤና መድን ለጤን እንክብካቤ የወጣውን ማሻሻያው በመቃወሙ 86.2 ሚሊዮን ዶላር ለንግድ ምክር ቤት አስረከቧል።
"A new species of ancient crocodile, Khoratosuchus jintasakuli, is identified from a fossil in Thailand.",በታይላንድ አንድ ኮራቶሱቹስ ጂንታሳኩሊ የተባለ የጥንት የአዞ ዝርያ ቅሪተ አካል ተገኝ።
"A World Health Organization study estimates that 600,000 deaths a year are attributable to second hand smoking.",እንደ አለም የጤና ድርጅት ጥናት መሰረት በሁለተኛ ደረጃ አጫሽነት የተነሳ በአመት የ600000 ሰዎች ህይወት ለህልፈት ይዳረጋል።
"Côte d'Ivoire President Laurent Gbagbo declares a curfew, amid clashes that killed three people ahead of the second round of the presidential election on Sunday.",የኮትዲቮር ፕሬዚደንት የሆኑት ላውረንት ግባገቦ በሁለተኛው ዙር የፕሬዚዳንታዊ ምርጫ ላይ በተፈጠረ ግጭት ሶስት ሰዎች መሞታቸውን ተከትሎ የሰአት እላፊ እንደታወጅ አዘዙ።
Ireland is hit by snow and record low November temperatures that disrupt the nation.,አየርላንድ በበረዶ ተመትታ አገሪቱን የሚያዛባ ዝቅተኛ የህዳር የሙቀት መጠንን አስመዘገበች።
Dozens of Easter Islanders are injured in conflict over ownership as riot police evict islanders from their ancestral home.,ፖሊስ ያካባቢውን ነዋሪዎች ማስወጣት ጋር በተያያዘ በባለቤትነት ግጭት ምክንያት በርካታ የሚሆኑ የኢስት ደሴት ነዋሪዎች ተጎድተዋል።
Association football team FC Barcelona ends its 111-year history of refusing commercial shirt sponsorship as it signs a record £125 million deal with the Qatar Foundation.,የማኅበሩ እግር ኳስ ቡድን FC ባርሴሎና ከኳታር ፋውንዴሽን ጋር የ 125 ሚሊዮን ፓውንድ ስምምነት በመፈረሙ የማሊያ ስፖንሰርነትን ባለመቀበል የ 111 ዓመቱን ታሪክ ያበቃል።
"Oklahoma becomes the first U.S. state to carry out an execution with pentobarbital, a lethal injection drug used for euthanizing animals.",ኦክላሆማ እንስሳትን ለማስወገድ የሚያገለግውን ፔንቶባርቢት መርዛማ የመርፌ መድሃኒት የሞት ፍርድ የተፈረደባቸው እስረኞች ላይ በመጠቀም የመጀመሪያዋ የአሜሪካ ግዛት ትሆናለች።
The United Kingdom government announces plans to make prisoners serving less than four years eligible to vote.,የእንግሊዝ መንግስት ከአራት አመት በታች የእስር ፍርድ የተፈረደበቸው እስረኞች ምርጫ እንዲመርጡ የሚያደርግ እቅድ እንዳለው አስታወቀ።
"1,200 new species and varieties of sea creatures discovered during the first world survey of marine life are presented at a conference in Jerusalem, Israel.","በእየሩሳሌም እስራኤል በቀረበው የመጀመረያው የአለም ዙሪያ የባህር ህይወት ጥናት 1,200 አዲስ የዝርያ አይነት ያላቸው የባህር ፍጥረታት እንደተገኙ አሳየ።"
Four people are killed and around 40 injured after a passenger plane explodes in Surgut in eastern Russia.,በምሥራቅ ሩሲያ በምትገኘው ሱርጉት ከተማ ውስጥ የመንገደኞች አውሮፕላን ፈንድቶ አራት ሰዎች ሲሞቱ አርባ ሰዎች ቆስለዋል።
"In another event not far way from the bird dieoff, scientists are investigating a fish kill of nearly 100,000 drum in the Arkansas River.",ከአእዋፋት ሞት ወጣ ስንል፤ ተመራማሪዎች በአርካንሳስ ወንዝ ውስጥ የሞቱ 100000 የድረም አሳዎችን ጉዳይ እየመረመሩ ይገኛሉ።
A Tunisian protester who set himself alight in unrest that sparked further protests across the country dies of his injuries.,በቱኒዚያ ባለው ያለመረጋጋት እራን በእሳት ያቃጠለው የተቃውሞ ተሳታፊ በደረሰበት ጉዳት ምክንያት ህይወቱ አለፈ።
Mohamed bin Hammam announce that Australia will host the 2015 AFC Asian Cup; this will be the first time Australia has hosted the competition.,መሃመድ ቢን ሃማም አውስትራሊያ የ2015ን የኤኤፍሲ ኤዥያ ዋንጫን ታዘጋጃለች ሲሉ አሳወቁ፤ ይህም አውስትራሊያ ለመጀመሪያ ጊዜ ውድድሩን እንደምታዘጋጅ ማረጋገጫ ይሆናል።
"The Algerian government cuts food prices amid unrest, and vows to punish those responsible for rioting in recent days.",በአልጄሪያ መንግሥት ላይ በተፈጠረው አለመረጋጋት ምክንያት የምግብ ዋጋዎችን ቀንሷል፤ እንዲሁም በቅርብ ቀናት ውስጥ ሁከት የፈጠሩትን ለመቅጣት ቃል ገብቷል።
Lionel Messi of Argentina wins the FIFA Ballon d'Or as world football player for the second successive year.,አርጀንቲናዊው ሊዮኔል ሜሲ ለሁለተኛ ተከታታይ ዓመት የዓለም ምርጥ እግር ኳስ ተጫዋች በመሆን የፊፋ ባሎን ዶርን አሸነፈ።
"The Jamaican Coast Guard intercepts a Honduran vessel fishing near Pedro Cays, killing the captain and wounding two crewmen.",የጃማይካ የባህር ጠረፍ ጠባቂዎች በፔድሮ ኬይስ አቅራቢያ በማጥመድ ላይ የነበረ አንድ የሆንዱራን መርከብ ካፒቴን ገድለው ሁለት መርከበኞችን አቁስለዋል።
The World Health Organization launches a plan to prevent the global spread of an artemisinin-resistant malaria.,የአለም ጤና ድርጅት አርቴሚሲኒንን የሚቋቋም ወባ በአለም ላይ እንዳይስፋፋ ለመከላከል እቅድ አውጥቷል።
"Researchers discover prions spreading through airborne transmission on aerosol particles, in an animal testing experiment focusing on scrapie infection in laboratory mice.",ተመራማሪዎች በ ስክራይፕ ኢንፌክሽን ላይ በማተኮር በላቦራቶሪ አይጦች ላይ ባደረጉት ምርምር በአይሮሶል ቅንጣቶች ላይ በመሆን በአየር ወለድ ስርጭት የሚተላለፉ ፕሪዮኖችን አግኝተዋል።
Rescue work is carried out to attempt to locate survivors in remote areas of south-eastern Brazil.,በደቡብ ምስራቅ ብራዚል ራቅ ባሉ አካባቢዎች የተረፉ ሰዎችን ለማግኘት የማዳን ሥራ እየተከናወነ ይገኛል።
"Delta Air Lines says that it expects sharp fuel cost increases in 2011, perhaps to $2.60 a gallon from $2.47 last year.",ዴልታ አየርመንገድ ባለፈው አመት ከነበረው 2.47 ዶላር በጋሎን በ 2011 እስከ 2.60 ዶላር በጋሎን የሚደርስ ትክክለኛ ያለውን የነዳጅ ዋጋ ጭማሪ እንደሚጠብቅ አስታወቀ።
American Samoa bans smoking in all public and private enclosed spaces.,በአሜሪካ ሳሞአ በሁሉም የሕዝብ እና የግል ዝግ ቦታዎች ላይ ማጨስ ተከልክሏል።
An Australian internal review finds that the fatal Christmas Island boat disaster was responded to appropriately.,የአውስትራሊያ ውስጣዊ የግምገማ ውጤት እንዳሳወቀው ገዳይ የሆነው የገና ደሴት የጀልባ አደጋ ተገቢ ምላሽ ተሰጥቶበታል።
The BBC World Service is to close five of its language services with the loss of 650 jobs.,ቢቢሲ ወርልድ ሰርቪስ አምስቱን የቋንቋ አገልግሎቶቹን በመዝጋት 650 ሰራተኞቹን ከስራ ያሰናብታል።
Sky Sports presenter Richard Keys resigns following his comments about female referee Sian Massey.,የስካይ ስፖርተ አቅራቢው ሪቻርደ ኪይስ ስለ እንስቷ ዳኛ ሺያን ሜሰይ ከሰጠው አስተያየት ጋር ተያይዞ ከስራው ለቀቀ።
"Ireland upgrades its relations with Palestine to a diplomatic mission, short of recognition, though the Palestinian representative is now officially an ambassador.",አየርላንድ ለዲመፕሎማሲያው ተልእኮ ከፍልስጤም ጋር ያላትን ግንኙነት አሻሻለች፤እውቅና ለመስጠት ትንሽ የቀረው ውሳኔ ቢመስልም በአየርላንድ የሚገኙት የፍልስጤም ተወካይ እንደ ባለ ሙሉ ስልጣን አምባሳደር ነው የሚቆጠሩት።
